malware,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99
1,154,177,191,154,177,191,154,134,135,134,135,134,135,93,153,232,56,140,136,135,89,140,134,135,232,177,191,134,135,136,135,134,135,140,232,236,219,134,135,134,135,254,136,254,136,254,94,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,209,59,138,59,138,154,153,94,153,136,135,136,135,136,135,136,135,136,135,141,135,141,136,135,136,135,136,135,134
1,231,177,191,154,177,191,154,184,139,153,139,134,135,134,135,134,139,135,94,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,135,59,138,59,138,153,94,154,94,153,136,135,134,59,138,59,138,49,94,59,138,94,49,134,59,138,59,138,59,138,134,135,139,134,135,134,135,94,57,138,266,153,136,135,97,156,159,174,154,94,153,16,97
1,72,254,60,264,60,59,60,138,264,153,170,153,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,153,134,135,180,154,94,154,177,94,219,94,136,135,136,135,136,135,137,136,135,137,136,135,137,136,135,137,136,135,137,153,94,154,177
1,95,93,158,95,177,178,136,135,232,135,234,135,227,232,234,135,230,135,219,76,232,135,236,135,236,219,56,232,234,230,219,232,236,219,56,232,234,219,232,234,219,56,232,236,219,232,236,219,134,135,232,236,219,190,183,92,134,136,92,134,177,191,154,134,135,177,191,177,191,154,177,168,177,191,154,168,154,177,154,177,169,154,177,154,177,169,154,177,154,177,191,154,177,154,177,191,154,178,191,154
1,95,136,135,136,135,136,135,136,135,134,135,134,135,262,136,135,28,177,191,154,177,191,154,135,29,135,35,135,156,79,257,193,154,232,236,219,9,232,236,228,232,236,219,228,219,232,236,219,25,274,221,238,219,232,236,219,232,236,136,95,236,219,232,236,219,9,6,134,135,232,60,266,138,6,153,136,135,232,234,227,232,234,227,232,236,232,236,232,236,232,236,232,236,232,236,232,236,232,236,232
1,153,254,139,209,136,135,153,170,153,93,153,183,134,135,134,135,94,250,136,135,59,138,59,138,134,135,94,59,138,59,138,154,177,191,76,191,76,191,76,191,76,94,231,263,153,183,153,183,153,231,153,170,159,174,153,98,136,135,28,135,156,81,79,257,253,257,107,159,174,154,187,153,94,153,94,153,136,135,59,138,153,49,94,49,153,94,254,136,254,135,254,136,254,135,254,136,254,135,254,136
1,209,136,135,136,135,136,135,136,135,136,135,136,135,134,135,89,232,236,219,136,135,136,135,142,154,142,154,142,154,142,154,142,154,142,154,142,154,142,154,177,191,154,177,191,154,136,135,97,156,159,174,154,100,153,231,226,231,235,219,231,235,219,231,235,219,226,231,235,219,231,235,219,231,235,219,226,231,235,219,231,235,219,231,235,219,226,231,235,219,231,235,219,231,235,219,226,231,235,219,231
1,231,177,191,154,177,191,154,184,139,153,139,134,135,134,135,134,139,135,94,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,135,59,138,59,138,153,94,154,94,153,136,135,134,59,138,59,138,49,94,59,138,94,49,134,59,138,59,138,59,138,134,135,139,134,135,134,135,94,57,138,266,153,136,135,97,156,159,174,154,94,153,16,97
1,95,134,135,262,166,154,153,166,154,153,170,153,136,135,133,94,174,134,135,153,94,183,135,183,153,136,135,136,135,136,190,231,235,219,177,191,154,177,191,154,177,191,154,232,108,177,191,154,167,154,153,154,153,158,137,177,183,162,153,183,153,170,183,135,153,170,153,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134
1,95,136,135,136,135,136,135,136,135,134,135,134,135,262,136,135,28,177,191,154,177,191,154,135,29,135,35,135,156,79,257,193,154,232,236,219,9,232,236,228,232,236,219,228,219,232,236,219,25,274,221,238,219,232,236,136,95,236,219,232,236,219,232,236,219,9,6,134,135,232,60,266,138,6,153,136,135,232,234,227,232,234,227,232,236,232,236,232,236,232,236,232,236,232,236,232,236,232,236,232
1,134,135,153,170,153,170,153,170,153,170,153,170,153,170,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,183,153,170,153,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134
1,283,153,57,138,266,248,13,231,153,97,153,140,97,92,232,136,135,236,219,232,236,219,158,89,97,153,154,136,135,136,190,231,235,219,153,177,191,154,177,191,154,177,191,154,232,108,177,191,154,167,135,167,104,154,232,219,236,219,232,154,232,219,236,219,167,104,154,232,219,236,154,219,232,219,236,219,167,104,154,232,219,236,219,154,232,219,236,219,106,154,106,154,106,154,137,20,265,202,154,205
1,95,136,135,136,135,136,135,136,135,134,135,134,135,262,136,135,28,177,191,154,177,191,154,135,29,135,35,135,156,79,257,193,154,232,236,219,9,232,236,228,232,236,219,228,219,232,236,219,25,274,221,238,219,232,236,219,232,236,136,95,236,219,232,236,219,9,6,162,53,95,134,135,232,60,266,138,6,153,136,135,232,234,227,232,234,227,232,236,232,236,232,162,236,53,95,236,232,236,232,236
1,95,134,135,262,97,136,135,59,153,79,177,191,154,177,191,154,79,59,183,135,183,136,135,183,147,162,183,153,170,183,135,232,236,219,232,236,219,93,134,135,232,175,136,135,93,153,170,153,136,135,92,231,136,135,153,93,136,135,262,134,136,92,84,85,136,135,97,156,159,174,154,134,135,183,135,183,135,154,170,95,134,135,262,9,154,283,154,94,153,136,135,25,136,135,28,135,31,135,103,136
1,231,177,191,154,177,191,154,184,139,153,139,134,135,134,135,134,139,135,94,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,135,59,138,59,138,153,94,154,94,153,136,135,134,59,138,59,138,49,94,59,138,94,49,134,59,138,59,138,59,138,134,135,139,134,135,134,135,94,57,138,266,153,136,135,97,156,159,174,154,94,153,16,97
1,95,136,135,136,135,136,135,136,135,134,135,134,135,262,136,135,28,177,191,154,177,191,154,135,29,135,35,135,156,79,257,193,154,232,236,219,9,232,236,228,232,236,219,228,219,232,236,219,25,274,221,238,219,232,236,219,232,236,136,95,236,219,232,236,219,9,6,134,135,232,60,266,138,6,153,136,135,232,234,227,232,234,227,232,236,232,236,232,236,232,236,232,236,232,236,232,236,232,236,232
1,95,136,135,136,135,136,135,136,135,81,136,135,134,135,262,93,183,153,136,135,136,135,136,135,97,16,134,135,136,135,232,236,219,232,236,219,93,134,135,232,175,136,135,93,153,170,153,136,135,136,135,136,135,95,231,235,219,136,135,92,231,136,135,136,135,93,136,135,136,135,95,134,135,81,262,9,154,283,153,154,94,153,136,135,25,136,135,28,135,31,135,103,49,94,136,135,153,167,49,94
1,154,177,191,154,177,191,154,134,135,134,135,134,135,93,153,232,56,140,136,135,89,140,134,135,232,177,191,134,135,136,135,134,135,99,140,232,236,219,134,135,134,135,254,136,254,136,254,94,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,209,59,138,59,138,154,153,94,153,136,135,136,135,136,135,136,135,136,135,141,135,141,136,135,136,135,136,135
1,153,170,153,81,134,135,262,153,72,94,254,139,263,158,139,134,135,231,235,219,139,42,240,42,240,18,72,25,195,263,154,201,57,138,263,134,136,135,137,134,136,135,137,134,136,135,137,134,136,135,137,134,136,135,137,94,154,177,191,154,177,191,154,153,170,153,177,191,86,154,94,153,136,135,94,154,177,94,219,57,138,134,135,49,94,49,94,49,154,232,92,136,135,9,135,154,232,236,219,154
1,254,209,134,136,135,136,135,136,135,181,174,232,236,219,232,236,219,232,236,219,232,236,219,232,236,219,232,154,177,191,154,177,191,154,136,135,97,156,159,174,154,231,135,16,136,135,92,231,136,135,232,236,219,232,135,232,236,219,135,232,236,219,135,104,135,232,219,236,219,232,219,236,219,135,154,167,232,219,236,219,232,97,140,97,92,232,136,135,236,219,232,236,219,158,89,97,154,136,135,136
1,95,93,158,95,177,178,136,135,232,135,234,135,227,232,234,135,230,135,219,76,232,135,236,135,236,219,56,232,234,230,219,232,236,219,56,232,234,219,232,234,219,56,232,236,219,232,236,219,134,135,232,236,219,190,183,92,134,136,92,134,177,191,154,134,135,177,191,177,191,154,177,168,177,191,154,168,154,177,154,177,169,154,177,154,177,169,154,177,154,177,191,154,177,154,177,191,154,178,191,154
1,95,153,170,153,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,153,134,135,262,153,9,262,95,231,95,136,135,283,153,134,135,25,134,135,134,135,162,293,154,162,95,154,305,153,296,292,300,162,291,95,231,235,219,231,235,219,220,237,219,158,60,138,266,231,95,231,220,237,99,237,219,95,94,231,235,219,221,238,219,221,238,219,221,238,219,221,238,219,221
1,177,191,177,191,154,177,168,177,191,154,168,154,177,154,177,169,154,177,154,177,169,154,177,154,177,191,154,177,154,177,191,154,158,154,135,176,159,154,135,153,135,153,135,136,135,136,135,136,135,136,135,136,135,153,56,154,177,191,154,177,191,154,136,135,97,156,159,174,154,56,185,56,185,154,185,154,185,56,185,56,185,154,185,154,56,185,56,185,56,185,154,56,185,154,56,185,154,56,185,154
1,95,136,135,136,135,136,135,136,135,136,135,134,135,134,135,262,9,158,231,98,57,138,266,254,76,254,156,206,154,135,156,81,193,154,98,57,138,266,254,76,254,156,206,154,156,81,193,154,177,191,154,177,191,154,136,135,97,156,159,174,154,26,215,216,154,26,215,216,154,26,215,216,154,25,60,138,266,6,95,136,153,170,153,93,134,135,134,135,94,134,135,92,136,25,59,154,94,153,136,135
1,154,26,153,215,154,177,191,154,177,191,154,136,135,97,156,159,174,154,216,170,154,180,153,232,236,219,232,236,219,232,236,219,232,236,219,232,236,219,232,236,219,232,236,219,232,236,219,170,177,191,177,191,154,177,168,177,191,154,168,154,177,154,177,169,154,177,154,177,169,154,177,154,177,191,154,177,154,177,191,154,153,248,153,176,187,154,158,170,153,103,153,71,153,232,236,219,153,232,236,219
1,95,136,135,136,135,136,135,136,135,134,135,134,135,262,136,135,28,177,191,154,177,191,154,135,29,135,35,135,156,79,257,193,154,232,236,219,9,232,236,228,232,236,219,228,219,232,236,219,25,274,221,136,95,221,238,219,232,236,162,53,95,236,219,232,236,219,232,162,53,95,236,219,9,162,53,95,162,53,95,162,53,95,6,162,53,95,162,53,95,134,135,232,153,232,60,266,138,153,162,53
1,95,134,135,262,153,183,135,183,136,135,183,162,153,183,153,170,183,135,93,153,170,153,136,135,136,135,93,136,135,262,134,92,84,85,136,135,97,156,159,174,154,134,135,183,135,183,135,170,95,134,135,262,9,154,283,154,94,153,136,135,25,136,135,28,135,31,135,103,136,135,167,160,167,195,167,232,236,49,94,49,94,154,84,85,219,232,228,177,94,219,49,232,94,228,232,49,154,228,232,235
1,95,153,134,135,134,153,262,153,95,136,135,136,135,95,231,235,219,231,235,219,232,236,219,154,136,135,136,135,136,135,136,135,136,135,136,135,153,170,153,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,153,134,135,180,154,94,154
1,95,136,135,136,135,136,135,136,135,136,135,262,183,153,136,135,136,135,136,135,97,16,134,135,136,135,232,236,219,232,236,219,93,134,135,232,175,136,135,93,153,170,153,136,135,136,135,136,135,95,231,235,219,136,135,92,231,136,135,136,135,93,136,135,136,135,95,134,135,262,9,154,283,154,94,153,136,135,25,136,135,28,135,49,135,94,135,31,135,49,103,136,135,94,153,167,160,167,195,153
1,95,134,135,262,153,86,75,183,135,183,136,135,136,135,136,190,231,235,219,177,191,154,177,191,154,177,191,154,232,108,177,191,154,167,154,158,137,177,183,162,183,153,170,183,135,93,153,170,153,136,135,95,231,235,219,136,135,93,136,135,262,134,153,136,92,84,85,136,135,97,156,159,174,154,134,135,183,135,183,135,170,95,134,135,262,9,154,283,154,94,153,136,135,25,136,135,49,94,49,94
1,95,153,170,153,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,153,134,135,95,262,93,134,135,209,59,138,59,138,59,138,183,177,191,154,177,191,154,136,135,97,156,159,174,154,136,209,136,135,156,257,193,257,193,257,193,257,193,257,193,257,193,257,193,257,193,257,193,257,193,257,193,257,193,257,193,257,193,257,193,257,193,257,193,257,193,257,193,257,193
1,95,136,135,136,135,136,135,136,135,134,135,134,135,262,95,93,158,95,177,178,190,183,92,134,136,92,134,177,191,154,134,135,177,191,177,191,154,177,168,177,191,154,168,154,177,154,177,169,154,177,154,177,169,154,177,154,177,191,154,177,154,177,191,154,178,191,154,136,135,134,135,92,95,136,92,178,191,154,178,191,154,93,134,135,178,175,136,92,176,166,136,92,134,135,89,232,236,219,136,92
1,95,136,135,136,135,136,135,136,135,134,135,134,135,262,136,135,28,177,191,154,177,191,154,135,29,135,35,135,156,79,257,193,154,232,236,219,9,232,236,228,232,236,219,228,219,232,236,219,25,274,221,238,219,232,236,219,232,236,219,232,236,219,9,136,95,6,134,135,232,60,266,138,6,153,136,135,232,234,227,232,234,227,232,236,232,236,232,236,232,236,232,236,232,236,232,236,232,236,232,236
1,95,136,135,136,135,136,135,136,135,134,135,134,135,262,136,135,28,177,191,154,177,191,154,135,29,135,35,135,156,79,257,193,154,232,236,219,9,232,236,228,232,236,219,228,219,232,236,219,25,274,221,238,136,95,238,219,232,236,219,232,236,219,232,236,219,9,6,134,135,232,60,266,138,6,153,136,135,232,234,227,232,234,227,232,236,232,236,232,236,232,236,232,236,232,236,232,236,232,236,232
1,95,136,135,136,135,136,135,136,135,134,135,134,135,262,136,135,28,177,191,154,177,191,154,135,29,135,35,135,156,79,257,193,154,232,236,219,9,232,236,228,232,236,219,228,219,232,236,219,25,274,221,238,219,232,236,219,232,236,136,95,236,219,232,236,219,9,6,134,135,232,162,232,53,95,60,266,138,6,153,136,135,232,234,227,232,234,227,232,236,232,236,232,236,162,53,95,236,232,236,232
1,95,153,170,153,134,135,134,153,262,153,56,185,153,56,185,56,185,154,56,185,153,56,185,154,56,185,154,56,185,56,185,154,185,154,185,154,56,185,56,185,154,56,185,154,56,185,154,56,185,154,185,154,56,185,56,185,56,185,154,56,185,154,56,185,154,56,185,154,185,154,56,185,56,185,154,56,185,154,56,185,154,185,154,185,154,56,185,56,185,56,185,154,185,154,185,154,56,185,56,185
1,153,183,135,183,136,135,183,176,162,153,183,153,170,183,135,153,170,153,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,153,134,135,180,154,94,154,177,94,219,94,136,135,136,135,93,153,170,153,136,135,136,135,95,231,235,219,136
1,153,254,139,209,136,135,153,170,153,93,153,183,134,135,134,135,94,250,136,135,59,138,59,138,134,135,94,59,138,59,138,154,177,191,76,191,76,191,76,191,76,94,231,263,153,183,153,183,153,231,59,138,59,138,94,153,136,135,59,138,134,59,138,59,138,49,94,49,232,219,135,288,136,135,231,134,135,154,177,154,177,154,254,136,254,135,254,136,254,135,53,254,136,254,135,153,254,136,254,135
1,154,177,191,154,177,191,154,134,135,134,135,134,135,93,153,232,56,140,136,135,89,140,134,135,232,177,191,134,135,136,135,134,135,99,140,232,236,219,134,135,134,135,254,136,254,136,254,94,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,209,59,154,153,94,153,136,135,136,135,136,135,136,135,136,135,141,135,141,136,135,136,135,136,135,134,59,49
1,153,254,139,209,136,135,153,170,153,93,153,183,134,135,134,135,94,250,136,135,59,138,59,138,134,135,94,59,138,59,138,154,177,191,76,191,76,191,76,191,76,94,231,263,153,183,153,183,153,231,159,174,153,98,136,135,28,135,156,81,79,257,253,257,107,159,174,154,187,153,94,153,170,153,94,153,136,135,59,138,8,98,76,156,154,250,156,81,153,206,154,159,174,153,156,81,79,107,159,79
1,95,136,135,136,135,136,135,136,135,81,136,135,262,183,153,136,135,95,93,158,95,177,178,190,183,92,134,136,92,134,177,191,154,134,135,154,178,191,154,136,135,136,135,97,16,134,135,136,135,178,191,154,178,191,154,93,134,135,178,175,136,135,93,153,170,153,136,135,136,135,136,135,95,178,191,154,136,135,92,178,136,135,136,135,93,136,135,136,135,95,134,135,153,81,153,262,9,154,283,153
1,95,153,170,153,134,135,134,153,262,153,136,135,136,135,95,231,235,219,231,235,219,232,236,219,154,136,135,136,135,136,135,136,135,136,135,136,135,153,170,153,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,134,135,153,134,135,180,154,94
1,95,136,135,136,135,136,135,136,135,134,135,134,135,262,136,135,28,177,191,154,177,191,154,135,29,135,35,135,156,79,257,193,154,232,236,219,9,232,236,228,232,236,219,228,219,232,236,219,25,136,95,274,221,238,219,232,236,219,232,236,219,162,232,53,236,95,219,9,6,134,135,232,60,266,138,6,153,162,136,135,53,95,232,234,227,232,234,227,232,236,232,236,232,236,232,236,232,236,232,236
1,154,177,191,154,177,191,154,134,135,134,135,134,135,93,153,232,56,140,136,135,89,140,134,135,232,177,191,134,135,136,135,134,135,140,232,236,219,134,135,134,135,254,136,254,136,254,94,59,209,59,138,59,138,154,153,94,153,136,135,136,135,136,135,136,135,136,135,141,135,141,136,135,136,135,136,135,134,59,138,59,138,49,94,59,138,94,49,134,59,138,59,138,59,138,134,135,140,134,135,134
0,95,262,153,170,153,93,134,135,134,135,154,177,191,154,177,191,154,136,135,97,156,159,174,154,94,134,135,92,136,25,94,232,158,140,64,140,59,154,140,232,236,219,136,135,9,232,236,238,219,135,11,136,135,153,136,135,134,135,136,135,136,135,136,25,94,136,135,94,232,94,153,94,136,135,94,135,60,138,266,153,136,135,136,135,153,136,135,92,153,136,135,153,135,153,94,135,153,136,135,153
1,135,134,153,81,99,231,184,139,134,135,139,134,135,94,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,135,59,138,59,138,153,94,154,94,153,136,135,134,59,138,59,138,49,94,59,138,94,49,134,59,138,59,138,59,138,134,135,134,135,134,135,139,94,59,138,59,138,59,138,59,138,59,138,59,138,94,139,134,135,162,134,135,59
1,95,136,135,136,135,136,135,136,135,81,136,135,262,183,153,136,135,95,93,158,95,177,178,190,183,92,134,136,92,134,177,191,154,134,135,154,178,191,154,136,135,136,135,97,16,134,135,136,135,178,191,154,178,191,154,93,134,135,178,175,136,135,93,153,170,153,136,135,136,135,136,135,95,178,191,154,136,135,92,178,136,135,136,135,93,136,135,136,135,95,134,135,153,81,153,262,9,154,283,153
1,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,136,135,183,231,177,191,154,177,191,154,184,139,153,139,134,135,134,135,134,139,135,94,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,59,138,135,59,138,59,138,153,94,154,94,153,136,135,134,59,138,59,138,49,94,59,138,94,49,134
1,135,153,135,153,135,136,135,136,135,153,183,154,177,191,154,177,191,154,136,135,97,156,159,174,154,153,170,176,187,154,153,170,158,154,136,211,167,160,167,195,167,248,156,159,174,79,205,154,71,76,136,135,154,135,9,16,97,16,134,135,136,135,232,236,219,76,135,136,135,232,236,219,232,236,219,232,236,219,232,236,219,232,236,219,232,231,135,232,236,219,232,236,219,232,236,219,104,135,232,219
1,254,209,134,136,135,136,135,136,135,181,174,232,236,219,232,236,219,232,236,219,232,236,219,232,236,219,232,154,177,191,154,177,191,154,136,135,97,156,159,174,154,231,135,16,136,135,92,231,136,135,232,236,219,232,135,232,236,219,135,232,236,219,135,104,135,232,219,236,219,232,219,236,219,135,154,167,232,219,236,219,232,97,140,97,92,232,136,135,236,219,232,236,219,158,89,97,154,136,135,136
1,95,136,135,136,135,136,135,136,135,134,135,134,135,262,136,135,28,177,191,154,177,191,154,135,29,135,35,135,156,79,257,193,154,232,236,219,9,232,236,228,232,236,219,228,219,232,236,219,25,274,221,238,136,238,219,95,232,236,219,232,236,219,232,236,219,9,6,134,135,232,60,266,138,6,153,162,136,135,53,95,232,234,227,232,234,227,232,236,232,236,232,236,232,236,232,236,232,236,232,236
1,254,209,134,136,135,136,135,136,135,181,174,232,236,219,232,236,219,232,236,219,232,236,219,232,236,219,232,154,136,135,97,156,159,174,154,231,135,16,136,135,136,135,232,236,219,232,135,232,236,219,135,232,236,219,135,104,135,232,219,236,219,232,219,236,219,135,154,167,232,219,236,219,232,136,135,228,232,236,219,134,135,134,228,135,219,134,135,136,232,135,136,232,190,156,154,231,235,219,185,154
